index,class_name,original_comment,preprocessed_comment,categories
1387,PeekingIterator.java,peekingiterator a .,peekingiterator a .,['Pointer']
1389,PeekingIterator.java,@since 20,@since 20,['Ownership']
1391,Preconditions.java,"correctly that is, whether its i preconditions i were met .","correctly that is, whether its i preconditions i were met .","['summary', 'Expand', 'usage']"
1400,Preconditions.java,throw new illegalargumentexception input is negative value,throw new illegalargumentexception input is negative value,"['Expand', 'usage']"
1417,Preconditions.java,p would be flagged as having called @code sqrt with an illegal argument.,p would be flagged as having called @code sqrt with an illegal argument.,['usage']
1419,Preconditions.java,p avoid passing message arguments that are expensive to compute your code will always compute,p avoid passing message arguments that are expensive to compute your code will always compute,['usage']
1421,Preconditions.java,"if you have such arguments, use the conventional","if you have such arguments, use the conventional",['usage']
1423,Preconditions.java,"p depending on your message arguments, memory may be allocated for boxing and varargs array","p depending on your message arguments, memory may be allocated for boxing and varargs array",['usage']
1425,Preconditions.java,"however, the methods of this class have a large number of overloads that prevent such","however, the methods of this class have a large number of overloads that prevent such",['Expand']
1426,Preconditions.java,allocations in many common cases.,allocations in many common cases.,['usage']
1430,Preconditions.java,environment if possible before spending a lot of effort on tweaking a particular element.,environment if possible before spending a lot of effort on tweaking a particular element.,['usage']
1431,Preconditions.java,h3 other types of preconditions h3,h3 other types of preconditions h3,['Expand']
1432,Preconditions.java,p not every type of precondition failure is supported by these methods.,p not every type of precondition failure is supported by these methods.,['Expand']
1434,Preconditions.java,standard jdk exceptions such as @link java^util.nosuchelementexception or @link,standard jdk exceptions such as @link java.util.nosuchelementexception or @link,['usage']
1436,Preconditions.java,h3 non preconditions h3,h3 non preconditions h3,['Expand']
1437,Preconditions.java,p it is of course possible to use the methods of this class to check for invalid conditions,p it is of course possible to use the methods of this class to check for invalid conditions,['usage']
1439,Preconditions.java,doing so is b not recommended b because it is,doing so is b not recommended b because it is,['usage']
1451,Preconditions.java,h3 @code java^util.objects^requirenonnull h3,h3 @code java.util.objects.requirenonnull h3,['usage']
1455,Preconditions.java,#checknotnull object or @link verify#verifynotnull object is appropriate to the situation.,#checknotnull object or @link verify#verifynotnull object is appropriate to the situation.,['usage']
1457,Preconditions.java,h3 only @code %s is supported h3,h3 only @code %s is supported h3,['usage']
1458,Preconditions.java,p @code preconditions uses @link strings#lenientformat to format error message template,p @code preconditions uses @link strings#lenientformat to format error message template,['Expand']
1462,Preconditions.java,"however, note that if the number of arguments does not match the","however, note that if the number of arguments does not match the",['usage']
1463,Preconditions.java,"number of occurrences of @code %s in the format string, @code preconditions will still","number of occurrences of @code %s in the format string, @code preconditions will still",['Expand']
1466,Preconditions.java,h3 more information h3,h3 more information h3,['Pointer']
1467,Preconditions.java,p see the guava user guide on a,p see the guava user guide on a,['Pointer']
1470,Preconditions.java,preconditions a .,preconditions a .,"['Expand', 'usage', 'Pointer']"
1471,Preconditions.java,@author kevin bourrillion,@author kevin bourrillion,['Ownership']
1472,Preconditions.java,@since 20,@since 20,['deprecation']
1473,RegularImmutableList_CustomFieldSerializer.java,this class implements the gwt serialization of @link regularimmutablelist .,this class implements the gwt serialization of @link regularimmutablelist .,"['summary', 'Pointer']"
1477,Resources.java,provides utility methods for working with resources in the classpath.,provides utility methods for working with resources in the classpath.,['summary']
1484,SmoothRateLimiter.java,"how is the ratelimiter designed, and why?","how is the ratelimiter designed, and why?",['usage']
1491,SmoothRateLimiter.java,wait as much.,wait as much.,['summary']
1496,SmoothRateLimiter.java,"qps 5 5 tokens per second , if we ensure that a request isn t granted earlier than 200ms after","qps 5 5 tokens per second , if we ensure that a request isn t granted earlier than 200ms after",['Expand']
1498,SmoothRateLimiter.java,if a request comes and the last request was,if a request comes and the last request was,"['Expand', 'usage']"
1502,SmoothRateLimiter.java,it is important to realize that such a ratelimiter has a very superficial memory of the past,it is important to realize that such a ratelimiter has a very superficial memory of the past,"['Expand', 'usage', 'rational']"
1505,SmoothRateLimiter.java,what if the ratelimiter was unused for a long period of,what if the ratelimiter was unused for a long period of,"['Expand', 'usage', 'rational']"
1508,SmoothRateLimiter.java,this ratelimiter would immediately,this ratelimiter would immediately,"['Expand', 'rational']"
1513,SmoothRateLimiter.java,"overflow, depending on the real world consequences of not using the expected rate.","overflow, depending on the real world consequences of not using the expected rate.","['Expand', 'usage', 'rational']"
1525,SmoothRateLimiter.java,"the request has become less ready for future requests , ie its caches become stale, and","the request has become less ready for future requests , ie its caches become stale, and","['Expand', 'usage']"
1527,SmoothRateLimiter.java,"example is when a server has just booted, and it is mostly busy with getting itself up to","example is when a server has just booted, and it is mostly busy with getting itself up to",['Expand']
1529,SmoothRateLimiter.java,"to deal with such scenarios, we add an extra dimension, that of past underutilization ,","to deal with such scenarios, we add an extra dimension, that of past underutilization ,",['Expand']
1531,SmoothRateLimiter.java,"this variable is zero when there is no underutilization,","this variable is zero when there is no underutilization,","['Expand', 'usage']"
1538,SmoothRateLimiter.java,how this works is best explained with an example,how this works is best explained with an example,['usage']
1542,SmoothRateLimiter.java,"for 10 seconds ie, we expected a request at time x, but we are at time x 10 seconds before","for 10 seconds ie, we expected a request at time x, but we are at time x 10 seconds before",['usage']
1545,SmoothRateLimiter.java,"at that point, a request of","at that point, a request of",['usage']
1547,SmoothRateLimiter.java,"we serve this request out of storedpermits, and reduce that to 70 how","we serve this request out of storedpermits, and reduce that to 70 how",['usage']
1548,SmoothRateLimiter.java,this is translated to throttling time is discussed later .,this is translated to throttling time is discussed later .,['usage']
1549,SmoothRateLimiter.java,"immediately after, assume that an","immediately after, assume that an",['usage']
1551,SmoothRateLimiter.java,"we serve the request partly from storedpermits, using all the","we serve the request partly from storedpermits, using all the",['usage']
1552,SmoothRateLimiter.java,"remaining 70 permits, and the remaining 30, we serve them by fresh permits produced by the","remaining 70 permits, and the remaining 30, we serve them by fresh permits produced by the",['usage']
1553,SmoothRateLimiter.java,rate limiter.,rate limiter.,['usage']
1555,SmoothRateLimiter.java,"1 token per second , then this will take 3 seconds.","1 token per second , then this will take 3 seconds.",['usage']
1556,SmoothRateLimiter.java,but what does it mean to serve 7 stored,but what does it mean to serve 7 stored,['usage']
1557,SmoothRateLimiter.java,permits?,permits?,['usage']
1558,SmoothRateLimiter.java,"as explained above, there is no unique answer.","as explained above, there is no unique answer.",['usage']
1559,SmoothRateLimiter.java,if we are primarily interested to deal,if we are primarily interested to deal,['usage']
1560,SmoothRateLimiter.java,"with underutilization, then we want stored permits to be given out faster than fresh ones,","with underutilization, then we want stored permits to be given out faster than fresh ones,",['usage']
1561,SmoothRateLimiter.java,because underutilization free resources for the taking.,because underutilization free resources for the taking.,['usage']
1562,SmoothRateLimiter.java,if we are primarily interested to,if we are primarily interested to,['usage']
1563,SmoothRateLimiter.java,"deal with overflow, then stored permits could be given out slower than fresh ones.","deal with overflow, then stored permits could be given out slower than fresh ones.",['usage']
1564,SmoothRateLimiter.java,"thus, we","thus, we",['usage']
1565,SmoothRateLimiter.java,require a different in each case function that translates storedpermits to throttling time.,require a different in each case function that translates storedpermits to throttling time.,['usage']
1567,SmoothRateLimiter.java,the,the,['usage']
1569,SmoothRateLimiter.java,storedpermits,storedpermits,['usage']
1570,SmoothRateLimiter.java,essentially measure unused time we spend unused time buying storing permits.,essentially measure unused time we spend unused time buying storing permits.,['usage']
1572,SmoothRateLimiter.java,"permits time , thus 1 rate time permits .","permits time , thus 1 rate time permits .",['usage']
1574,SmoothRateLimiter.java,of requested permits.,of requested permits.,['usage']
1576,SmoothRateLimiter.java,integrals .,integrals .,['usage']
1577,SmoothRateLimiter.java,cost as fresh ones 1 qps is the cost for each .,cost as fresh ones 1 qps is the cost for each .,['usage']
1578,SmoothRateLimiter.java,underutilization.,underutilization.,['usage']
1579,SmoothRateLimiter.java,"last, but not least consider a ratelimiter with rate of 1 permit per second, currently","last, but not least consider a ratelimiter with rate of 1 permit per second, currently",['usage']
1580,SmoothRateLimiter.java,"completely unused, and an expensive acquire 100 request comes.","completely unused, and an expensive acquire 100 request comes.",['usage']
1583,SmoothRateLimiter.java,a much,a much,['usage']
1584,SmoothRateLimiter.java,"instead , and postpone subsequent requests as needed.","instead , and postpone subsequent requests as needed.",['usage']
1585,SmoothRateLimiter.java,"task immediately, and postpone by 100 seconds future requests, thus we allow for work to get","task immediately, and postpone by 100 seconds future requests, thus we allow for work to get",['usage']
1586,SmoothRateLimiter.java,this has important consequences it means that the ratelimiter doesn t remember the time of the,this has important consequences it means that the ratelimiter doesn t remember the time of the,['usage']
1588,SmoothRateLimiter.java,this also enables,this also enables,['usage']
1589,SmoothRateLimiter.java,us to tell immediately see tryacquire timeout whether a particular timeout is enough to get,us to tell immediately see tryacquire timeout whether a particular timeout is enough to get,['usage']
1590,SmoothRateLimiter.java,"us to the point of the next scheduling time, since we always maintain that.","us to the point of the next scheduling time, since we always maintain that.",['usage']
1591,SmoothRateLimiter.java,and what we mean by,and what we mean by,['usage']
1593,SmoothRateLimiter.java,"expected arrival time of the next request is actually in the past, then the difference now","expected arrival time of the next request is actually in the past, then the difference now",['usage']
1594,SmoothRateLimiter.java,"past is the amount of time that the ratelimiter was formally unused, and it is that amount of","past is the amount of time that the ratelimiter was formally unused, and it is that amount of",['usage']
1595,SmoothRateLimiter.java,time which we translate to storedpermits.,time which we translate to storedpermits.,['usage']
1597,SmoothRateLimiter.java,that would have been produced in that idle time .,that would have been produced in that idle time .,['usage']
1600,SmoothRateLimiter.java,we would only increase it for arrivals later than the expected one second.,we would only increase it for arrivals later than the expected one second.,['usage']
1601,SmoothRateLimiter.java,the time when the next request no matter its size will be granted.,the time when the next request no matter its size will be granted.,['usage']
1602,SmoothRateLimiter.java,"after granting a request,","after granting a request,",['usage']
1604,SmoothRateLimiter.java,large requests push this further than small requests.,large requests push this further than small requests.,['usage']
1605,SmoothRateLimiter.java,this implements the following function where coldinterval coldfactor stableinterval.,this implements the following function where coldinterval coldfactor stableinterval.,"['Expand', 'usage']"
1607,SmoothRateLimiter.java,^ throttling,. throttling,['Expand']
1610,SmoothRateLimiter.java,warmup period is the area of the trapezoid between,warmup period is the area of the trapezoid between,"['Expand', 'usage']"
1611,SmoothRateLimiter.java,thresholdpermits and maxpermits,thresholdpermits and maxpermits,['Expand']
1613,SmoothRateLimiter.java,interval .,interval .,['Expand']
1614,SmoothRateLimiter.java,up .,up .,['Expand']
1615,SmoothRateLimiter.java,period.,period.,['Expand']
1616,SmoothRateLimiter.java,0 storedpermits,0 storedpermits,"['Expand', 'usage']"
1619,SmoothRateLimiter.java,"before going into the details of this particular function, let s keep in mind the basics","before going into the details of this particular function, let s keep in mind the basics","['Expand', 'usage']"
1621,SmoothRateLimiter.java,li the state of the ratelimiter storedpermits is a vertical line in this figure.,li the state of the ratelimiter storedpermits is a vertical line in this figure.,['Expand']
1622,SmoothRateLimiter.java,"li when the ratelimiter is not used, this goes right up to maxpermits","li when the ratelimiter is not used, this goes right up to maxpermits","['Expand', 'usage']"
1623,SmoothRateLimiter.java,"li when the ratelimiter is used, this goes left down to zero , since if we have","li when the ratelimiter is used, this goes left down to zero , since if we have","['Expand', 'usage']"
1624,SmoothRateLimiter.java,"storedpermits, we serve from those first","storedpermits, we serve from those first","['Expand', 'usage']"
1625,SmoothRateLimiter.java,"li when unused , we go right at a constant rate!","li when unused , we go right at a constant rate!",['Expand']
1626,SmoothRateLimiter.java,the rate at which we move to the right is,the rate at which we move to the right is,"['Expand', 'usage']"
1627,SmoothRateLimiter.java,this ensures that the time it takes to go from 0 to,this ensures that the time it takes to go from 0 to,"['Expand', 'usage']"
1628,SmoothRateLimiter.java,"li when used , the time it takes, as explained in the introductory class note, is equal to","li when used , the time it takes, as explained in the introductory class note, is equal to","['Expand', 'usage']"
1629,SmoothRateLimiter.java,"the integral of our function, between x permits and x k permits, assuming we want to","the integral of our function, between x permits and x k permits, assuming we want to","['Expand', 'usage']"
1630,SmoothRateLimiter.java,spend k saved permits.,spend k saved permits.,['Expand']
1632,SmoothRateLimiter.java,"p in summary, the time it takes to move to the left spend k permits , is equal to the area of","p in summary, the time it takes to move to the left spend k permits , is equal to the area of","['summary', 'usage']"
1633,SmoothRateLimiter.java,the function of width k.,the function of width k.,"['summary', 'usage']"
1634,SmoothRateLimiter.java,"p assuming we have saturated demand, the time to go from maxpermits to thresholdpermits is","p assuming we have saturated demand, the time to go from maxpermits to thresholdpermits is","['Expand', 'usage']"
1635,SmoothRateLimiter.java,equal to warmupperiod.,equal to warmupperiod.,['Expand']
1636,SmoothRateLimiter.java,and the time to go from thresholdpermits to 0 is warmupperiod 2.,and the time to go from thresholdpermits to 0 is warmupperiod 2.,"['Expand', 'usage']"
1638,SmoothRateLimiter.java,reason that this is warmupperiod 2 is to maintain the behavior of the original implementation,reason that this is warmupperiod 2 is to maintain the behavior of the original implementation,['usage']
1640,SmoothRateLimiter.java,p it remains to calculate thresholdspermits and maxpermits.,p it remains to calculate thresholdspermits and maxpermits.,['Expand']
1641,SmoothRateLimiter.java,li the time to go from thresholdpermits to 0 is equal to the integral of the function,li the time to go from thresholdpermits to 0 is equal to the integral of the function,"['Expand', 'usage']"
1643,SmoothRateLimiter.java,this is thresholdpermits stableintervals.,this is thresholdpermits stableintervals.,['Expand']
1644,SmoothRateLimiter.java,therefore,therefore,['usage']
1645,SmoothRateLimiter.java,thresholdpermits 05 warmupperiod stableinterval,thresholdpermits 05 warmupperiod stableinterval,['Expand']
1646,SmoothRateLimiter.java,li the time to go from maxpermits to thresholdpermits is equal to the integral of the,li the time to go from maxpermits to thresholdpermits is equal to the integral of the,"['Expand', 'usage']"
1647,SmoothRateLimiter.java,function between thresholdpermits and maxpermits.,function between thresholdpermits and maxpermits.,['Expand']
1648,SmoothRateLimiter.java,this is the area of the pictured,this is the area of the pictured,['usage']
1649,SmoothRateLimiter.java,"trapezoid, and it is equal to 05 stableinterval coldinterval maxpermits","trapezoid, and it is equal to 05 stableinterval coldinterval maxpermits",['Expand']
1650,SmoothRateLimiter.java,thresholdpermits .,thresholdpermits .,['Expand']
1651,SmoothRateLimiter.java,maxpermits thresholdpermits 2 warmupperiod stableinterval coldinterval,maxpermits thresholdpermits 2 warmupperiod stableinterval coldinterval,['Expand']
1652,SmoothRateLimiter.java,"how is the ratelimiter designed, and why?","how is the ratelimiter designed, and why?",['usage']
1657,SmoothRateLimiter.java,wait as much.,wait as much.,['summary']
1660,SmoothRateLimiter.java,"for example, for a rate of","for example, for a rate of",['Expand']
1663,SmoothRateLimiter.java,if a request comes and the last request was,if a request comes and the last request was,"['Expand', 'usage']"
1665,SmoothRateLimiter.java,"at this rate, serving 15 fresh permits","at this rate, serving 15 fresh permits",['Expand']
1667,SmoothRateLimiter.java,it is important to realize that such a ratelimiter has a very superficial memory of the past,it is important to realize that such a ratelimiter has a very superficial memory of the past,"['Expand', 'usage', 'rational']"
1669,SmoothRateLimiter.java,what if the ratelimiter was unused for a long period of,what if the ratelimiter was unused for a long period of,"['Expand', 'usage', 'rational']"
1671,SmoothRateLimiter.java,this ratelimiter would immediately,this ratelimiter would immediately,"['Expand', 'rational']"
1674,SmoothRateLimiter.java,"overflow, depending on the real world consequences of not using the expected rate.","overflow, depending on the real world consequences of not using the expected rate.","['Expand', 'usage', 'rational']"
1680,SmoothRateLimiter.java,"translates to almost empty buffers , which can be filled immediately.","translates to almost empty buffers , which can be filled immediately.",['Expand']
1682,SmoothRateLimiter.java,"the request has become less ready for future requests , ie its caches become stale, and","the request has become less ready for future requests , ie its caches become stale, and","['Expand', 'usage']"
1684,SmoothRateLimiter.java,"example is when a server has just booted, and it is mostly busy with getting itself up to","example is when a server has just booted, and it is mostly busy with getting itself up to",['Expand']
1686,SmoothRateLimiter.java,"to deal with such scenarios, we add an extra dimension, that of past underutilization ,","to deal with such scenarios, we add an extra dimension, that of past underutilization ,",['Expand']
1688,SmoothRateLimiter.java,"this variable is zero when there is no underutilization,","this variable is zero when there is no underutilization,","['Expand', 'usage']"
1696,SmoothRateLimiter.java,"ratelimiter being unused, we increase storedpermits by 1.","ratelimiter being unused, we increase storedpermits by 1.",['usage']
1698,SmoothRateLimiter.java,"for 10 seconds ie, we expected a request at time x, but we are at time x 10 seconds before","for 10 seconds ie, we expected a request at time x, but we are at time x 10 seconds before",['usage']
1703,SmoothRateLimiter.java,"we serve this request out of storedpermits, and reduce that to 70 how","we serve this request out of storedpermits, and reduce that to 70 how",['usage']
1704,SmoothRateLimiter.java,this is translated to throttling time is discussed later .,this is translated to throttling time is discussed later .,['usage']
1705,SmoothRateLimiter.java,"immediately after, assume that an","immediately after, assume that an",['usage']
1706,SmoothRateLimiter.java,acquire 10 request arriving.,acquire 10 request arriving.,['usage']
1707,SmoothRateLimiter.java,"we serve the request partly from storedpermits, using all the","we serve the request partly from storedpermits, using all the",['usage']
1708,SmoothRateLimiter.java,"remaining 70 permits, and the remaining 30, we serve them by fresh permits produced by the","remaining 70 permits, and the remaining 30, we serve them by fresh permits produced by the",['usage']
1710,SmoothRateLimiter.java,we already know how much time it takes to serve 3 fresh permits if the rate is,we already know how much time it takes to serve 3 fresh permits if the rate is,['usage']
1711,SmoothRateLimiter.java,"1 token per second , then this will take 3 seconds.","1 token per second , then this will take 3 seconds.",['usage']
1712,SmoothRateLimiter.java,but what does it mean to serve 7 stored,but what does it mean to serve 7 stored,['usage']
1713,SmoothRateLimiter.java,permits?,permits?,['usage']
1714,SmoothRateLimiter.java,"as explained above, there is no unique answer.","as explained above, there is no unique answer.",['usage']
1715,SmoothRateLimiter.java,if we are primarily interested to deal,if we are primarily interested to deal,['usage']
1716,SmoothRateLimiter.java,"with underutilization, then we want stored permits to be given out faster than fresh ones,","with underutilization, then we want stored permits to be given out faster than fresh ones,",['usage']
1717,SmoothRateLimiter.java,because underutilization free resources for the taking.,because underutilization free resources for the taking.,['usage']
1718,SmoothRateLimiter.java,if we are primarily interested to,if we are primarily interested to,['usage']
1719,SmoothRateLimiter.java,"deal with overflow, then stored permits could be given out slower than fresh ones.","deal with overflow, then stored permits could be given out slower than fresh ones.",['usage']
1720,SmoothRateLimiter.java,"thus, we","thus, we",['usage']
1721,SmoothRateLimiter.java,require a different in each case function that translates storedpermits to throttling time.,require a different in each case function that translates storedpermits to throttling time.,['usage']
1725,SmoothRateLimiter.java,underlying model is a continuous function mapping storedpermits from 00 to maxstoredpermits,underlying model is a continuous function mapping storedpermits from 00 to maxstoredpermits,['usage']
1726,SmoothRateLimiter.java,storedpermits,storedpermits,['usage']
1727,SmoothRateLimiter.java,essentially measure unused time we spend unused time buying storing permits.,essentially measure unused time we spend unused time buying storing permits.,['usage']
1728,SmoothRateLimiter.java,rate is,rate is,['usage']
1729,SmoothRateLimiter.java,"permits time , thus 1 rate time permits .","permits time , thus 1 rate time permits .",['usage']
1731,SmoothRateLimiter.java,of requested permits.,of requested permits.,['usage']
1732,SmoothRateLimiter.java,this guarantees that we handle,this guarantees that we handle,['usage']
1733,SmoothRateLimiter.java,integrals .,integrals .,['usage']
1734,SmoothRateLimiter.java,cost as fresh ones 1 qps is the cost for each .,cost as fresh ones 1 qps is the cost for each .,['usage']
1736,SmoothRateLimiter.java,"last, but not least consider a ratelimiter with rate of 1 permit per second, currently","last, but not least consider a ratelimiter with rate of 1 permit per second, currently",['usage']
1737,SmoothRateLimiter.java,"completely unused, and an expensive acquire 100 request comes.","completely unused, and an expensive acquire 100 request comes.",['usage']
1738,SmoothRateLimiter.java,it would be nonsensical to just,it would be nonsensical to just,['usage']
1739,SmoothRateLimiter.java,why wait without doing anything?,why wait without doing anything?,['usage']
1741,SmoothRateLimiter.java,"instead , and postpone subsequent requests as needed.","instead , and postpone subsequent requests as needed.",['usage']
1742,SmoothRateLimiter.java,"task immediately, and postpone by 100 seconds future requests, thus we allow for work to get","task immediately, and postpone by 100 seconds future requests, thus we allow for work to get",['usage']
1744,SmoothRateLimiter.java,"last request, but it remembers the expected time of the next request.","last request, but it remembers the expected time of the next request.",['usage']
1745,SmoothRateLimiter.java,this also enables,this also enables,['usage']
1746,SmoothRateLimiter.java,us to tell immediately see tryacquire timeout whether a particular timeout is enough to get,us to tell immediately see tryacquire timeout whether a particular timeout is enough to get,['usage']
1747,SmoothRateLimiter.java,"us to the point of the next scheduling time, since we always maintain that.","us to the point of the next scheduling time, since we always maintain that.",['usage']
1748,SmoothRateLimiter.java,and what we mean by,and what we mean by,['usage']
1749,SmoothRateLimiter.java,an unused ratelimiter is also defined by that notion when we observe that the,an unused ratelimiter is also defined by that notion when we observe that the,['usage']
1750,SmoothRateLimiter.java,"expected arrival time of the next request is actually in the past, then the difference now","expected arrival time of the next request is actually in the past, then the difference now",['usage']
1751,SmoothRateLimiter.java,"past is the amount of time that the ratelimiter was formally unused, and it is that amount of","past is the amount of time that the ratelimiter was formally unused, and it is that amount of",['usage']
1752,SmoothRateLimiter.java,time which we translate to storedpermits.,time which we translate to storedpermits.,['usage']
1753,SmoothRateLimiter.java,we increase storedpermits with the amount of permits,we increase storedpermits with the amount of permits,['usage']
1754,SmoothRateLimiter.java,that would have been produced in that idle time .,that would have been produced in that idle time .,['usage']
1755,SmoothRateLimiter.java,"so, if rate 1 permit per second, and","so, if rate 1 permit per second, and",['usage']
1758,SmoothRateLimiter.java,we would only increase it for arrivals later than the expected one second.,we would only increase it for arrivals later than the expected one second.,['usage']
1759,SmoothRateLimiter.java,the time when the next request no matter its size will be granted.,the time when the next request no matter its size will be granted.,['usage']
1760,SmoothRateLimiter.java,"after granting a request,","after granting a request,",['usage']
1761,SmoothRateLimiter.java,this is pushed further in the future.,this is pushed further in the future.,['usage']
1765,SmoothRateLimiter.java,the maximum number of permits that can be saved when the ratelimiter is unused is defined in,the maximum number of permits that can be saved when the ratelimiter is unused is defined in,"['usage', 'rational']"
1767,SmoothRateLimiter.java,"seconds, we can save up to 2 10 20 permits.","seconds, we can save up to 2 10 20 permits.",['rational']
1769,SortedSetNavigationTester.java,can t be invoked directly please see,can t be invoked directly please see,"['usage', 'Pointer']"
1774,SubscriberTest.java,@author cliff biffle,@author cliff biffle,['Ownership']
1779,TestStringListGenerator.java,@author kevin bourrillion,@author kevin bourrillion,['Ownership']
1781,WrappingScheduledExecutorService.java,#wraptask callable wrap tasks before they are submitted to the underlying executor.,#wraptask callable wrap tasks before they are submitted to the underlying executor.,['summary']
1783,WrappingScheduledExecutorService.java,@author luke sandberg,@author luke sandberg,['Ownership']
1784,AbstractModule.java,a support class for @link module s which reduces repetition and results in a more readable,a support class for @link module s which reduces repetition and results in a more readable,['summary']
1786,AbstractModule.java,"simply extend this class, implement @link #configure , and call the inherited","simply extend this class, implement @link #configure , and call the inherited",['usage']
1790,AbstractModule.java,public class mymodule extends abstractmodule,public class mymodule extends abstractmodule,['usage']
1792,AbstractModule.java,bind service^class ^to serviceimpl^class ^in singleton^class,bind service.class .to serviceimpl.class .in singleton.class,['usage']
1794,AbstractModule.java,bind paymentservice^class ^to creditcardpaymentservice^class,bind paymentservice.class .to creditcardpaymentservice.class,['usage']
1802,Binder.java,h3 the guice binding edsl h3,h3 the guice binding edsl h3,['usage']
1804,Binder.java,simply and readably.,simply and readably.,['usage']
1806,Binder.java,"instead, you should consult the series of examples below.","instead, you should consult the series of examples below.",['usage']
1808,Binder.java,"examples omit the opening @code binder , just as you will if your module extends @link","examples omit the opening @code binder , just as you will if your module extends @link",['usage']
1812,Binder.java,@link module class to serve as an explicit i manifest i for the services it provides.,@link module class to serve as an explicit i manifest i for the services it provides.,['usage']
1814,Binder.java,given explicitly.,given explicitly.,['usage']
1816,Binder.java,specifies that a request for a @code service instance with no binding annotations should be,specifies that a request for a @code service instance with no binding annotations should be,['usage']
1818,Binder.java,this i overrides i the,this i overrides i the,['usage']
1820,Binder.java,"annotations found on @code service , since guice will have already moved on to @code","annotations found on @code service , since guice will have already moved on to @code",['usage']
1824,Binder.java,this,this,['usage']
1828,Binder.java,"p the @link provider you use here does not have to be a factory that is, a provider which","p the @link provider you use here does not have to be a factory that is, a provider which",['usage']
1834,Binder.java,@code @red .,@code @red .,['usage']
1836,Binder.java,of @code @red that have no exact match in the bindings.,of @code @red that have no exact match in the bindings.,['usage']
1838,Binder.java,bind serviceimpl^class ^in singleton^class,bind serviceimpl.class .in singleton.class,['usage']
1839,Binder.java,"or, alternatively","or, alternatively",['usage']
1840,Binder.java,either of these statements places the @code serviceimpl class into singleton scope.,either of these statements places the @code serviceimpl class into singleton scope.,['usage']
1841,Binder.java,guice will,guice will,['usage']
1842,Binder.java,create only one instance of @code serviceimpl and will reuse it for all injection requests of,create only one instance of @code serviceimpl and will reuse it for all injection requests of,['usage']
1843,Binder.java,note that it is still possible to bind another instance of @code serviceimpl if the,note that it is still possible to bind another instance of @code serviceimpl if the,['usage']
1844,Binder.java,guice is not overly,guice is not overly,['usage']
1845,Binder.java,with i enabling i your application to share only one instance if that s all you tell guice you,with i enabling i your application to share only one instance if that s all you tell guice you,['usage']
1847,Binder.java,an annotation on the @code serviceimpl class.,an annotation on the @code serviceimpl class.,['usage']
1850,Binder.java,their own custom scopes for use here as well.,their own custom scopes for use here as well.,['usage']
1852,Binder.java,bind new typeliteral&lt paymentservice&lt creditcard,bind new typeliteral&lt paymentservice&lt creditcard,['usage']
1853,Binder.java,it tells guice how to,it tells guice how to,['usage']
1854,Binder.java,honor an injection request for an element of type @code paymentservice creditcard .,honor an injection request for an element of type @code paymentservice creditcard .,['usage']
1856,Binder.java,@code creditcardpaymentservice must implement the @code paymentservice creditcard interface.,@code creditcardpaymentservice must implement the @code paymentservice creditcard interface.,['usage']
1857,Binder.java,"guice cannot currently bind or inject a generic type, such as @code set e all type parameters","guice cannot currently bind or inject a generic type, such as @code set e all type parameters",['usage']
1860,Binder.java,bind service^class ^toinstance new serviceimpl,bind service.class .toinstance new serviceimpl,['usage']
1861,Binder.java,"or, alternatively","or, alternatively",['usage']
1862,Binder.java,@code service injection requests.,@code service injection requests.,['usage']
1865,Binder.java,that you can t control.,that you can t control.,['usage']
1867,Binder.java,sets up a constant binding.,sets up a constant binding.,['usage']
1868,Binder.java,constant injections must always be annotated.,constant injections must always be annotated.,['usage']
1869,Binder.java,when a constant,when a constant,['usage']
1870,Binder.java,"binding s value is a string, it is eligible for conversion to all primitive types, to @link","binding s value is a string, it is eligible for conversion to all primitive types, to @link",['usage']
1871,Binder.java,"enum#valueof class, string all enums , and to @link class#forname class literals .","enum#valueof class, string all enums , and to @link class#forname class literals .",['usage']
1874,Binder.java,converttotypes .,converttotypes .,['usage']
1877,Binder.java,red mymodule^class.getdeclaredfield red ^getannotation color^class,red mymodule.class.getdeclaredfield red .getannotation color.class,['usage']
1879,Binder.java,values of your annotation.,values of your annotation.,['usage']
1883,Binder.java,bind service^class,bind service.class,['usage']
1885,Binder.java,"differentiating by names is a common enough use case that we provided a standard annotation,","differentiating by names is a common enough use case that we provided a standard annotation,",['usage']
1886,Binder.java,@link com^google.inject^name.named @named .,@link com.google.inject.name.named @named .,['usage']
1888,Binder.java,is quite easier than in the arbitrary binding annotation case we just saw.,is quite easier than in the arbitrary binding annotation case we just saw.,['usage']
1889,Binder.java,"however, remember that","however, remember that",['usage']
1893,Binder.java,constructor t lonector getlonectorfromserviceimplviareflection,constructor t lonector getlonectorfromserviceimplviareflection,['usage']
1894,Binder.java,bind serviceimpl^class,bind serviceimpl.class,['usage']
1895,Binder.java,implementation.,implementation.,['usage']
1898,Binder.java,it is,it is,['usage']
1901,Binder.java,p the above list of examples is far from exhaustive.,p the above list of examples is far from exhaustive.,['usage']
1903,Binder.java,"example might coexist with the concepts from another, you can most likely weave the two together.","example might coexist with the concepts from another, you can most likely weave the two together.",['usage']
1906,Binder.java,"runtime, as soon as you try to create your injector.","runtime, as soon as you try to create your injector.",['usage']
